Provisional_Death_Counts_for_Influenza__Pneumonia__and_COVID-19_20240928 (1),,,,,,,,,,,,,
Data As Of,Start Week,End Week,Jurisdiction,Age Group,Total Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Month-Year,,,,,,
11/02/2023,03/29/2020,04/04/2020,Nebraska,All Ages,311,37,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Nevada,All Ages,578,87,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,New Hampshire,All Ages,258,26,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,New Jersey,All Ages,3474,1497,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,New Mexico,All Ages,411,42,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,New York,All Ages,3718,1375,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,New York City,All Ages,6387,3840,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,North Carolina,All Ages,2014,196,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,North Dakota,All Ages,122,11,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Ohio,All Ages,2585,276,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Oklahoma,All Ages,787,124,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Oregon,All Ages,774,69,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Pennsylvania,All Ages,2980,409,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Rhode Island,All Ages,224,36,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,South Carolina,All Ages,1077,113,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,South Dakota,All Ages,170,21,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Tennessee,All Ages,1519,166,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Texas,All Ages,4137,450,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Utah,All Ages,398,35,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Vermont,All Ages,129,21,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Virginia,All Ages,1484,161,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Washington,All Ages,1319,246,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,West Virginia,All Ages,473,45,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Wisconsin,All Ages,1243,170,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,Wyoming,All Ages,122,12,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 1,All Ages,3323,747,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 2,All Ages,13579,6712,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 3,All Ages,6486,885,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 4,All Ages,13978,1736,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 5,All Ages,12163,2260,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 6,All Ages,7342,1134,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 7,All Ages,2746,318,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 8,All Ages,1954,297,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 9,All Ages,8108,1051,Apr-2020,,,,,,
11/02/2023,03/29/2020,04/04/2020,HHS Region 10,All Ages,2466,346,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,United States,All Ages,78946,21178,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Alabama,All Ages,1149,142,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Alaska,All Ages,84,,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Arizona,All Ages,1375,188,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Arkansas,All Ages,633,72,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,California,All Ages,6018,810,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Colorado,All Ages,1086,279,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Connecticut,All Ages,1240,554,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Delaware,All Ages,223,41,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,District of Columbia,All Ages,183,51,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Florida,All Ages,4452,581,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Georgia,All Ages,2043,351,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Hawaii,All Ages,220,19,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Idaho,All Ages,308,33,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Illinois,All Ages,2937,661,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Indiana,All Ages,1624,351,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Iowa,All Ages,606,56,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Kansas,All Ages,545,86,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Kentucky,All Ages,1036,136,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Louisiana,All Ages,1518,516,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Maine,All Ages,311,40,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Maryland,All Ages,1361,308,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Massachusetts,All Ages,2020,772,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Michigan,All Ages,3406,1194,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Minnesota,All Ages,951,120,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Mississippi,All Ages,717,116,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Missouri,All Ages,1429,168,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Montana,All Ages,218,13,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Nebraska,All Ages,336,30,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Nevada,All Ages,579,103,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,New Hampshire,All Ages,268,40,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,New Jersey,All Ages,4760,2596,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,New Mexico,All Ages,421,52,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,New York,All Ages,4530,2167,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,New York City,All Ages,8033,5333,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,North Carolina,All Ages,2004,196,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,North Dakota,All Ages,146,15,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Ohio,All Ages,2624,353,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Oklahoma,All Ages,876,141,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Oregon,All Ages,769,70,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Pennsylvania,All Ages,3443,833,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Rhode Island,All Ages,246,64,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,South Carolina,All Ages,1140,123,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,South Dakota,All Ages,150,15,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Tennessee,All Ages,1469,170,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Texas,All Ages,4214,531,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Utah,All Ages,378,23,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Vermont,All Ages,123,17,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Virginia,All Ages,1615,217,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Washington,All Ages,1317,208,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,West Virginia,All Ages,522,59,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Wisconsin,All Ages,1183,148,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,Wyoming,All Ages,107,11,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 1,All Ages,4208,1487,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 2,All Ages,17323,10096,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 3,All Ages,7347,1509,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 4,All Ages,14010,1815,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 5,All Ages,12725,2827,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 6,All Ages,7662,1312,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 7,All Ages,2916,340,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 8,All Ages,2085,356,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 9,All Ages,8192,1120,Apr-2020,,,,,,
11/02/2023,04/05/2020,04/11/2020,HHS Region 10,All Ages,2478,316,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,United States,All Ages,76697,21344,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Alabama,All Ages,1166,160,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Alaska,All Ages,84,,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Arizona,All Ages,1292,171,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Arkansas,All Ages,642,58,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,California,All Ages,6112,955,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Colorado,All Ages,1110,262,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Connecticut,All Ages,1366,709,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Delaware,All Ages,227,52,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,District of Columbia,All Ages,178,62,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Florida,All Ages,4335,601,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Georgia,All Ages,2023,367,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Hawaii,All Ages,205,,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Idaho,All Ages,283,20,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Illinois,All Ages,2994,800,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Indiana,All Ages,1490,350,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Iowa,All Ages,636,78,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Kansas,All Ages,565,74,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Kentucky,All Ages,957,127,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Louisiana,All Ages,1364,453,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Maine,All Ages,323,40,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Maryland,All Ages,1374,395,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Massachusetts,All Ages,2486,1232,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Michigan,All Ages,3191,1136,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Minnesota,All Ages,966,151,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Mississippi,All Ages,743,125,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Missouri,All Ages,1311,157,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Montana,All Ages,195,17,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Nebraska,All Ages,352,46,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Nevada,All Ages,549,64,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,New Hampshire,All Ages,246,37,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,New Jersey,All Ages,4693,2680,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,New Mexico,All Ages,426,60,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,New York,All Ages,4327,2130,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,New York City,All Ages,6097,4237,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,North Carolina,All Ages,2029,258,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,North Dakota,All Ages,141,16,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Ohio,All Ages,2657,421,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Oklahoma,All Ages,817,122,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Oregon,All Ages,763,58,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Pennsylvania,All Ages,3724,1089,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Rhode Island,All Ages,270,102,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,South Carolina,All Ages,1067,118,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,South Dakota,All Ages,159,11,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Tennessee,All Ages,1481,141,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Texas,All Ages,4245,533,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Utah,All Ages,372,18,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Vermont,All Ages,134,20,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Virginia,All Ages,1606,264,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Washington,All Ages,1250,189,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,West Virginia,All Ages,425,36,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Wisconsin,All Ages,1155,121,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,Wyoming,All Ages,94,,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 1,All Ages,4825,2140,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 2,All Ages,15117,9047,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 3,All Ages,7534,1898,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 4,All Ages,13801,1897,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 5,All Ages,12453,2979,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 6,All Ages,7494,1226,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 7,All Ages,2864,355,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 8,All Ages,2071,333,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 9,All Ages,8158,1198,Apr-2020,,,,,,
11/02/2023,04/12/2020,04/18/2020,HHS Region 10,All Ages,2380,271,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,United States,All Ages,73774,19325,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Alabama,All Ages,1158,148,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Alaska,All Ages,69,,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Arizona,All Ages,1372,185,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Arkansas,All Ages,628,58,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,California,All Ages,5922,922,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Colorado,All Ages,1062,273,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Connecticut,All Ages,1333,716,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Delaware,All Ages,282,73,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,District of Columbia,All Ages,211,86,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Florida,All Ages,4497,591,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Georgia,All Ages,2021,352,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Hawaii,All Ages,200,13,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Idaho,All Ages,264,23,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Illinois,All Ages,3061,825,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Indiana,All Ages,1587,401,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Iowa,All Ages,601,87,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Kansas,All Ages,555,58,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Kentucky,All Ages,964,153,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Louisiana,All Ages,1249,377,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Maine,All Ages,293,32,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Maryland,All Ages,1555,484,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Massachusetts,All Ages,2532,1353,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Michigan,All Ages,2826,923,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Minnesota,All Ages,1021,210,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Mississippi,All Ages,761,119,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Missouri,All Ages,1407,190,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Montana,All Ages,192,,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Nebraska,All Ages,349,52,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Nevada,All Ages,570,95,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,New Hampshire,All Ages,270,48,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,New Jersey,All Ages,3974,2235,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,New Mexico,All Ages,415,66,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,New York,All Ages,3658,1700,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,New York City,All Ages,4175,2854,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,North Carolina,All Ages,2086,257,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,North Dakota,All Ages,140,17,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Ohio,All Ages,2825,429,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Oklahoma,All Ages,799,109,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Oregon,All Ages,770,59,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Pennsylvania,All Ages,3806,1213,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Rhode Island,All Ages,276,108,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,South Carolina,All Ages,1052,121,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,South Dakota,All Ages,172,14,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Tennessee,All Ages,1419,125,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Texas,All Ages,4400,493,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Utah,All Ages,384,28,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Vermont,All Ages,123,17,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Virginia,All Ages,1649,289,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Washington,All Ages,1226,172,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,West Virginia,All Ages,471,39,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Wisconsin,All Ages,1040,106,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,Wyoming,All Ages,102,14,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 1,All Ages,4827,2274,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 2,All Ages,11807,6789,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 3,All Ages,7974,2184,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 4,All Ages,13958,1866,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 5,All Ages,12360,2894,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 6,All Ages,7491,1103,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 7,All Ages,2912,387,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 8,All Ages,2052,355,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 9,All Ages,8064,1215,Apr-2020,,,,,,
11/02/2023,04/19/2020,04/25/2020,HHS Region 10,All Ages,2329,258,Apr-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,United States,All Ages,69181,16657,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Alabama,All Ages,1158,144,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Alaska,All Ages,88,,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Arizona,All Ages,1386,191,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Arkansas,All Ages,636,59,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,California,All Ages,5696,870,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Colorado,All Ages,996,233,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Connecticut,All Ages,1153,606,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Delaware,All Ages,256,97,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,District of Columbia,All Ages,190,81,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Florida,All Ages,4296,561,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Georgia,All Ages,1964,348,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Hawaii,All Ages,223,18,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Idaho,All Ages,247,16,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Illinois,All Ages,3012,907,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Indiana,All Ages,1522,396,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Iowa,All Ages,673,101,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Kansas,All Ages,529,48,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Kentucky,All Ages,1008,121,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Louisiana,All Ages,1176,325,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Maine,All Ages,291,23,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Maryland,All Ages,1517,489,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Massachusetts,All Ages,2301,1207,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Michigan,All Ages,2622,709,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Minnesota,All Ages,1051,212,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Mississippi,All Ages,762,143,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Missouri,All Ages,1359,174,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Montana,All Ages,208,12,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Nebraska,All Ages,348,43,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Nevada,All Ages,538,77,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,New Hampshire,All Ages,272,57,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,New Jersey,All Ages,3146,1653,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,New Mexico,All Ages,431,85,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,New York,All Ages,3108,1261,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,New York City,All Ages,2949,1904,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,North Carolina,All Ages,1952,225,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,North Dakota,All Ages,139,17,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Ohio,All Ages,2734,444,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Oklahoma,All Ages,782,97,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Oregon,All Ages,717,47,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Pennsylvania,All Ages,3553,1077,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Rhode Island,All Ages,319,136,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,South Carolina,All Ages,1045,140,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,South Dakota,All Ages,156,27,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Tennessee,All Ages,1437,122,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Texas,All Ages,4201,500,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Utah,All Ages,375,23,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Vermont,All Ages,108,,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Virginia,All Ages,1679,311,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Washington,All Ages,1163,139,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,West Virginia,All Ages,478,40,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Wisconsin,All Ages,1160,124,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,Wyoming,All Ages,71,,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,HHS Region 1,All Ages,4444,2037,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,HHS Region 2,All Ages,9203,4818,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,HHS Region 3,All Ages,7673,2095,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,HHS Region 4,All Ages,13622,1804,May-2020,,,,,,
11/02/2023,04/26/2020,05/02/2020,HHS Region 5,All Ages,12101,2792,May-2020,,,,,,
