Provisional_Death_Counts_for_Influenza__Pneumonia__and_COVID-19_20240928 (1),,,,,,,,,,,,,
Data As Of,Start Week,End Week,Jurisdiction,Age Group,Total Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Month-Year,,,,,,
11/02/2023,12/29/2019,01/04/2020,HHS Region 10,All Ages,2294,170,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,United States,All Ages,60588,4609,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Alabama,All Ages,1152,92,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Alaska,All Ages,108,,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Arizona,All Ages,1352,94,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Arkansas,All Ages,694,58,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,California,All Ages,5844,479,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Colorado,All Ages,854,58,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Connecticut,All Ages,624,53,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Delaware,All Ages,188,10,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,District of Columbia,All Ages,98,,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Florida,All Ages,4315,289,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Georgia,All Ages,1803,125,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Hawaii,All Ages,241,19,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Idaho,All Ages,288,19,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Illinois,All Ages,2325,171,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Indiana,All Ages,1391,120,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Iowa,All Ages,650,49,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Kansas,All Ages,582,47,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Kentucky,All Ages,1062,105,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Louisiana,All Ages,952,66,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Maine,All Ages,330,22,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Maryland,All Ages,1072,89,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Massachusetts,All Ages,1238,78,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Michigan,All Ages,2101,146,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Minnesota,All Ages,946,68,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Mississippi,All Ages,673,53,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Missouri,All Ages,1292,86,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Montana,All Ages,213,15,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Nebraska,All Ages,358,43,Jan-2020,,,,,,
11/02/2023,01/05/2020,01/11/2020,Nevada,All Ages,531,32,Jan-2020,,,,,,
